time,open,high,low,close,volume
2023-12-01,66.56,67.06,65.91,66.7,1192386
2023-12-04,66.85,67.86,66.85,67.57,3466947
2023-12-05,67.71,69.16,67.64,68.44,3596254
2023-12-06,68.58,68.87,67.93,68.58,1223469
2023-12-07,68.65,68.8,66.99,68.07,3765052
2023-12-08,68.07,68.65,67.5,68.0,1747729
2023-12-11,68.94,69.09,68.29,68.58,1567612
2023-12-12,68.87,69.88,68.8,69.88,4090519
2023-12-13,70.31,70.31,68.72,68.72,2152046
2023-12-14,69.16,69.59,68.72,69.45,1715423
2023-12-15,69.45,69.52,68.58,69.45,1477484
2023-12-18,69.23,69.45,67.64,67.86,2269177
2023-12-19,67.79,68.29,67.57,68.29,1253010
2023-12-20,68.07,68.58,67.93,68.36,1351472
2023-12-21,68.29,68.65,67.86,68.65,1758872
2023-12-22,68.58,68.65,68.15,68.29,1276887
2023-12-25,68.51,69.45,68.44,69.3,2019931
2023-12-26,69.66,71.18,69.59,70.17,3364283
2023-12-27,70.31,70.6,69.95,69.95,1359748
2023-12-28,70.02,70.02,69.52,69.74,1199164
2023-12-29,69.74,70.02,69.37,69.37,1869204
2024-01-02,69.95,69.95,69.09,69.23,1717109
2024-01-03,69.01,69.66,68.87,69.52,1439581
2024-01-04,69.52,71.03,69.45,70.17,2978466
2024-01-05,70.24,70.38,69.66,70.31,1140908
2024-01-08,70.31,70.96,70.1,70.24,1446808
2024-01-09,70.24,70.24,69.74,69.74,1213774
2024-01-10,69.81,69.95,68.22,68.36,3309732
2024-01-11,68.36,68.87,68.36,68.58,1373914
2024-01-12,68.44,69.01,67.93,68.36,2602405
2024-01-15,68.58,69.23,68.51,68.87,1315058
2024-01-16,68.36,69.09,68.36,69.09,811904
2024-01-17,69.01,69.3,68.58,69.09,1416305
2024-01-18,69.09,69.3,68.72,69.01,1139263
2024-01-19,69.3,69.95,69.09,69.52,1495663
2024-01-22,69.88,69.88,69.16,69.59,1110387
2024-01-23,69.37,69.59,68.87,69.01,1482899
2024-01-24,69.16,69.16,68.51,68.58,1725114
2024-01-25,68.65,69.09,68.44,68.65,847088
2024-01-26,68.94,69.45,68.8,69.23,927816
2024-01-29,69.23,69.37,68.8,69.23,1062382
2024-01-30,69.23,69.23,68.87,69.01,950876
2024-01-31,69.01,69.3,68.94,69.09,1383416
2024-02-01,69.23,72.12,69.09,72.12,7803177
2024-02-02,72.33,73.78,72.26,73.63,2885879
2024-02-05,73.63,75.15,73.56,74.72,2701349
2024-02-06,74.79,75.8,74.28,75.15,1890491
2024-02-07,75.58,75.8,75.0,75.73,2130668
2024-02-15,75.94,76.16,74.93,75.08,2254547
2024-02-16,75.08,75.87,74.93,75.87,2070089
2024-02-19,76.16,77.24,75.8,75.8,2037643
2024-02-20,75.94,75.94,75.08,75.29,1848111
2024-02-21,75.08,77.17,74.72,76.45,3141692
2024-02-22,76.45,76.52,75.51,75.51,1722092
2024-02-23,76.16,77.03,74.57,75.0,4108378
2024-02-26,75.0,77.96,74.72,77.96,4472548
2024-02-27,78.33,79.05,77.53,77.89,2807162
2024-02-28,77.96,78.33,76.74,78.33,3466729
2024-02-29,78.11,78.98,77.75,78.69,2829302
2024-03-01,78.83,80.42,78.76,79.99,4028406
2024-03-04,80.13,80.71,79.99,80.42,3092985
2024-03-05,80.42,80.42,79.34,79.91,3390992
2024-03-06,79.41,79.7,78.25,78.76,3710122
2024-03-07,78.76,82.22,78.11,80.35,4044840
2024-03-08,80.35,81.29,79.05,79.41,3122548
2024-03-11,79.41,81.94,79.41,79.41,3389872
2024-03-12,79.41,81.94,79.41,80.78,2912964
2024-03-13,81.43,84.46,80.85,84.46,5125138
2024-03-14,85.54,85.54,83.52,84.46,3472473
2024-03-15,84.32,84.32,82.66,83.74,3846741
2024-03-18,83.6,83.6,80.2,81.57,5898676
2024-03-19,81.57,81.57,80.2,80.85,3324749
2024-03-20,81.07,83.02,80.2,82.66,3483551
2024-03-21,83.16,83.88,82.73,83.88,3762372
2024-03-22,83.96,83.96,82.66,82.95,2420313
2024-03-25,82.37,83.09,82.15,82.3,2799669
2024-03-26,82.3,83.38,82.01,83.02,1696761
2024-03-27,82.8,83.23,82.37,83.16,1323812
2024-03-28,83.67,84.75,83.23,84.53,2808951
2024-03-29,84.03,84.61,83.74,84.1,1346605
2024-04-01,83.74,84.89,83.16,84.32,1980689
2024-04-02,83.31,84.46,83.31,84.46,2289100
2024-04-03,83.81,84.46,83.09,83.09,2555654
2024-04-04,83.02,83.6,82.3,82.3,2369065
2024-04-05,81.65,82.8,81.29,82.08,2764447
2024-04-08,82.08,82.08,81.29,81.29,1957677
2024-04-09,81.29,81.72,81.21,81.57,1437679
2024-04-10,81.94,83.45,81.79,82.15,1795600
2024-04-11,81.94,83.31,81.79,82.95,1553032
2024-04-12,83.67,83.67,82.51,83.38,1371708
2024-04-15,83.38,83.45,80.49,80.56,3709209
2024-04-16,80.85,81.72,80.49,81.57,3651849
2024-04-17,81.65,81.65,80.56,80.71,1949454
2024-04-19,79.77,80.27,78.69,78.69,5373515
2024-04-22,79.41,80.42,78.61,79.63,2403688
2024-04-23,80.06,81.79,79.34,81.07,4041971
2024-04-24,82.01,86.7,81.72,86.7,10179208
2024-04-25,88.43,92.4,88.0,88.94,5718864
2024-04-26,88.79,90.53,88.22,88.94,3402188
2024-05-02,89.37,93.12,89.15,91.9,3477702
2024-05-03,92.47,92.69,90.67,90.89,3199400
2024-05-06,91.32,92.11,89.88,92.11,2710850
2024-05-07,92.4,95.0,91.83,94.78,3130425
2024-05-08,93.92,94.57,93.34,94.57,3024432
2024-05-09,94.28,95.87,93.85,94.06,2208946
2024-05-10,94.78,95.43,93.27,94.57,3797696
2024-05-13,94.78,94.93,92.98,93.63,1857811
2024-05-14,93.85,95.07,93.56,94.21,2309312
2024-05-15,94.93,97.09,94.78,96.81,3659473
2024-05-16,97.89,99.12,96.88,97.74,3128143
2024-05-17,97.74,98.18,96.52,97.09,2314616
2024-05-20,97.6,98.25,96.01,96.01,2020789
2024-05-21,96.73,98.18,96.37,98.18,3478265
2024-05-22,99.55,100.85,98.25,99.62,4522916
2024-05-23,99.26,99.48,97.46,99.26,3630410
2024-05-24,99.62,99.62,94.28,95.22,13398023
2024-05-27,96.01,96.37,94.28,95.87,5172903
2024-05-28,96.73,98.9,96.08,98.9,4632228
2024-05-29,98.97,99.77,97.31,97.96,5844515
2024-05-30,96.59,97.46,95.22,97.46,7273584
2024-05-31,97.46,98.76,96.59,97.17,2639516
2024-06-03,97.46,99.33,97.24,98.83,7782256
2024-06-04,100.34,100.56,99.48,100.42,7019713
2024-06-05,101.07,104.6,100.85,101.14,6336780
2024-06-06,101.28,102.29,100.2,100.78,5222139
2024-06-07,101.79,102.51,101.43,102.51,3762372
2024-06-10,103.59,104.67,103.23,103.95,3785656
2024-06-11,104.17,105.76,103.3,105.76,6340276
2024-06-12,106.91,110.93,106.83,110.34,11246768
2024-06-13,111.76,111.85,108.67,108.67,8167546
2024-06-14,108.75,110.84,107.83,109.5,6425220
2024-06-17,109.5,109.84,107.42,107.67,4890848
2024-06-18,107.67,108.42,107.0,107.0,6694763
2024-06-19,107.0,111.01,105.83,109.92,9684926
2024-06-20,111.18,113.43,110.17,111.43,10482529
2024-06-21,111.93,113.77,111.43,113.77,7663338
2024-06-24,112.85,113.27,110.34,110.42,13202385
2024-06-25,109.5,109.59,107.5,108.67,13723703
2024-06-26,109.5,110.17,108.17,110.17,7158131
2024-06-27,109.76,112.1,109.34,111.01,6409612
2024-06-28,111.01,111.01,109.0,109.09,6641381
2024-07-01,109.0,109.0,107.42,107.5,6386361
2024-07-02,107.5,110.42,106.58,107.0,6735345
